"","speech_act","speaker_role","target_child_age_years","gloss","freq","total_freq","relFreq","relFreq_ppt"
"107","other","Father",2.14630390143737,"and",2,62,0.032258064516129,32.258064516129
"108","other","Father",2.15177960301164,"and",1,30,0.0333333333333333,33.3333333333333
"109","other","Father",2.15451745379877,"and",1,8,0.125,125
"110","other","Father",2.17214236824093,"and",6,101,0.0594059405940594,59.4059405940594
"111","other","Father",2.17488021902806,"and",3,75,0.04,40
"112","other","Father",2.18035592060233,"and",1,13,0.0769230769230769,76.9230769230769
"113","other","Father",2.18309377138946,"and",2,56,0.0357142857142857,35.7142857142857
"114","other","Father",2.19678302532512,"and",2,72,0.0277777777777778,27.7777777777778
"115","other","Father",2.19952087611225,"and",1,15,0.0666666666666667,66.6666666666667
"116","other","Father",2.20225872689938,"and",2,58,0.0344827586206897,34.4827586206897
"117","other","Father",2.20773442847365,"and",1,41,0.024390243902439,24.390243902439
"118","other","Father",2.21321013004791,"and",1,43,0.0232558139534884,23.2558139534884
"119","other","Father",2.21594798083504,"and",2,25,0.08,80
"120","other","Father",2.22142368240931,"and",2,37,0.0540540540540541,54.0540540540541
"121","other","Father",2.22689938398357,"and",1,23,0.0434782608695652,43.4782608695652
"122","other","Father",2.22689938398357,"or",1,23,0.0434782608695652,43.4782608695652
"123","other","Father",2.25,"and",7,771,0.00907911802853437,9.07911802853437
"124","other","Father",2.2582135523614,"and",1,20,0.05,50
"125","other","Father",2.26368925393566,"and",3,39,0.0769230769230769,76.9230769230769
"126","other","Father",2.30201916495551,"and",2,29,0.0689655172413793,68.9655172413793
"127","other","Father",2.30749486652977,"and",1,31,0.032258064516129,32.258064516129
"128","other","Father",2.30749486652977,"or",1,31,0.032258064516129,32.258064516129
"129","other","Father",2.33333333333333,"and",22,1008,0.0218253968253968,21.8253968253968
"130","other","Father",2.33333333333333,"or",3,1008,0.00297619047619048,2.97619047619048
"131","other","Father",2.3388090349076,"and",5,146,0.0342465753424658,34.2465753424658
"132","other","Father",2.34428473648186,"and",6,67,0.0895522388059701,89.5522388059701
"133","other","Father",2.35797399041752,"and",6,58,0.103448275862069,103.448275862069
