"","speaker_role","target_child_age_years","gloss","freq","total_freq","relFreq","relFreq_ppt"
"74","Father",1.55201916495551,"and",2,224,0.00892857142857143,8.92857142857143
"75","Father",1.55201916495551,"or",1,224,0.00446428571428571,4.46428571428571
"76","Father",1.55475701574264,"and",13,593,0.0219224283305228,21.9224283305228
"77","Father",1.55475701574264,"or",6,593,0.0101180438448567,10.1180438448567
"78","Father",1.55749486652977,"and",89,4184,0.0212715105162524,21.2715105162524
"79","Father",1.55749486652977,"or",5,4184,0.00119502868068834,1.19502868068834
"80","Father",1.57118412046543,"and",40,2404,0.0166389351081531,16.6389351081531
"81","Father",1.57118412046543,"or",1,2404,0.000415973377703827,0.415973377703827
"82","Father",1.57392197125257,"and",58,2004,0.0289421157684631,28.9421157684631
"83","Father",1.57392197125257,"or",1,2004,0.000499001996007984,0.499001996007984
